業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/01,金,平日,,晴,20.0,15.0,計,627559,550000,1.1410,1.1410,682843,0.9190,263,112,2386.2,2.99,275,0.9564,344,0.7645,0,280989,0.4477,0.4477,0,119450,0.1903,0.1903,0.6381,0.6381,5249,7173.5,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/02,土,土曜,,晴,23.0,14.0,計,1006246,950000,1.0592,1.0892,657612,1.5302,436,169,2307.9,4.95,475,0.9179,296,1.4730,0,519571,0.5163,0.4900,0,172142,0.1711,0.1785,0.6874,0.6685,7543,8004.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/03,日,日祝,,雨,22.0,17.0,計,1253335,1100000,1.1394,1.1104,1014216,1.2358,540,211,2321.0,6.14,550,0.9818,484,1.1157,0,,0.0000,0.2773,0,169532,0.1353,0.1597,0.1353,0.4370,7595,9901.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/04,月,日祝,,晴,22.0,16.0,計,1360147,1200000,1.1335,1.1177,1119493,1.2150,644,229,2112.0,7.32,600,1.0733,513,1.2554,0,433257,0.3185,0.2905,0,180177,0.1325,0.1510,0.4510,0.4415,7988,10216.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/05,火,日祝,,晴,23.0,12.0,計,801108,900000,0.8901,1.0741,866906,0.9241,370,145,2165.2,4.20,450,0.8222,407,0.9091,0,76117,0.0950,0.2595,0,162445,0.2028,0.1592,0.2978,0.4187,6823,7044.8,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/06,水,日祝,,曇,20.0,15.0,計,731232,650000,1.1250,1.0803,483145,1.5135,273,103,2678.5,3.10,325,0.8400,242,1.1281,0,57170,0.0782,0.2365,0,130583,0.1786,0.1617,0.2568,0.3982,5864,7481.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/07,木,平日,,晴,27.0,16.0,計,468094,400000,1.1702,1.0866,324347,1.4432,183,69,2557.9,2.08,200,0.9150,141,1.2979,0,66134,0.1413,0.2294,0,111405,0.2380,0.1674,0.3793,0.3968,4973,5647.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/08,金,平日,,曇,23.0,18.0,計,330747,500000,0.6615,1.0526,413789,0.7993,146,57,2265.4,1.66,250,0.5840,177,0.8249,0,106882,0.3232,0.2341,0,95749,0.2895,0.1735,0.6126,0.4076,4153,4778.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/09,土,土曜,,晴,22.0,15.0,計,576505,800000,0.7206,1.0149,589230,0.9784,250,105,2306.0,2.84,400,0.6250,245,1.0204,0,72951,0.1265,0.2254,0,127353,0.2209,0.1773,0.3474,0.4028,5596,6181.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/05/10,日,日祝,,晴,24.0,13.0,計,534689,750000,0.7129,0.9859,564626,0.9470,231,92,2314.7,2.63,375,0.6160,276,0.8370,0,,0.0000,0.2098,0,123369,0.2307,0.1810,0.2307,0.3908,5492,5841.5,,0.0000,
