業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0002,千房FC,500002,FC第2エリア,562   ,せんちゅうパル店,2026/05/13,水,平日,休,雨,25.0,18.0,計,,0,,0.6928,,,,,,0,0,,,,0,,,0.0000,0,0,,0.6925,,0.6925,0,,,,
0002,千房FC,500002,FC第2エリア,562   ,せんちゅうパル店,2026/05/14,木,平日,,晴,27.0,16.0,計,143217,190000,0.7538,0.7139,182164,0.7862,92,50,1556.7,3.41,133,0.6917,120,0.7667,0,,0.0000,0.0000,0,66995,0.4678,0.6105,0.4678,0.6105,3140,2736.6,,0.0000,
0002,千房FC,500002,FC第2エリア,562   ,せんちゅうパル店,2026/05/15,金,平日,,晴,29.0,16.0,計,176369,190000,0.9283,0.7689,236100,0.7470,128,55,1377.9,4.74,133,0.9624,146,0.8767,0,,0.0000,0.0000,0,91019,0.5161,0.5813,0.5161,0.5813,4028,2627.1,,0.0000,
0002,千房FC,500002,FC第2エリア,562   ,せんちゅうパル店,2026/05/16,土,土曜,,晴,28.0,18.0,計,200956,200000,1.0048,0.8191,213248,0.9424,113,55,1778.4,4.19,129,0.8760,135,0.8370,0,,0.0000,0.0000,0,94382,0.4697,0.5521,0.4697,0.5521,3923,3073.5,,0.0000,
0002,千房FC,500002,FC第2エリア,562   ,せんちゅうパル店,2026/05/17,日,日祝,,晴,29.0,15.0,計,294623,250000,1.1785,0.8946,257530,1.1440,149,74,1977.3,5.52,163,0.9141,160,0.9313,0,,0.0000,0.0000,0,87708,0.2977,0.4817,0.2977,0.4817,3728,4741.8,,0.0000,
0002,千房FC,500003,FC第3エリア,563   ,北新地,2026/05/11,月,平日,,晴,25.0,15.0,計,244534,109448,2.2342,2.2342,74770,3.2705,41,15,5964.2,,9,4.5556,12,3.4167,6300,5966,0.0244,0.0244,,0,0.0000,0.0000,0.0244,0.0244,0,,,0.0000,
0002,千房FC,500003,FC第3エリア,563   ,北新地,2026/05/12,火,平日,,曇,26.0,18.0,計,44040,189448,0.2325,0.9655,91400,0.4818,14,8,3145.7,,17,0.8235,8,1.7500,6300,13135,0.2983,0.0662,,0,0.0000,0.0000,0.2983,0.0662,0,,,0.0000,
0002,千房FC,500003,FC第3エリア,563   ,北新地,2026/05/13,水,平日,,雨,25.0,19.0,計,272070,189448,1.4361,1.1481,271970,1.0004,18,8,15115.0,,17,1.0588,31,0.5806,6300,14800,0.0544,0.0605,,0,0.0000,0.0000,0.0544,0.0605,0,,,0.0000,
0002,千房FC,500003,FC第3エリア,563   ,北新地,2026/05/14,木,平日,,晴,27.0,17.0,計,312666,189448,1.6504,1.2885,194666,1.6062,35,12,8933.3,,17,2.0588,10,3.5000,6300,16503,0.0528,0.0577,,0,0.0000,0.0000,0.0528,0.0577,0,,,0.0000,
0002,千房FC,500003,FC第3エリア,563   ,北新地,2026/05/15,金,平日,,晴,28.0,16.0,計,261560,199448,1.3114,1.2937,237200,1.1027,44,15,5944.5,,17,2.5882,17,2.5882,6300,22231,0.0850,0.0640,,0,0.0000,0.0000,0.0850,0.0640,0,,,0.0000,
