業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/01,日,日祝,,晴,17.0,7.0,計,503246,750000,0.6710,0.6710,479101,1.0504,246,95,2045.7,2.80,375,0.6560,259,0.9498,0,,0.0000,0.0000,0,129597,0.2575,0.2575,0.2575,0.2575,6098,4951.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/02,月,平日,,曇,15.0,7.0,計,359628,500000,0.7193,0.6903,405090,0.8878,173,81,2078.8,1.97,250,0.6920,190,0.9105,0,112525,0.3129,0.1304,0,86597,0.2408,0.2506,0.5537,0.3810,4097,5266.7,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/03,火,平日,,雨,13.0,11.0,計,480371,500000,0.9607,0.7676,390836,1.2291,204,95,2354.8,2.32,250,0.8160,190,1.0737,0,107229,0.2232,0.1636,0,85320,0.1776,0.2245,0.4008,0.3881,4051,7114.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/04,水,平日,,曇,11.0,7.0,計,448999,500000,0.8980,0.7966,442838,1.0139,189,80,2375.7,2.15,250,0.7560,212,0.8915,0,60501,0.1347,0.1564,0,99951,0.2226,0.2240,0.3574,0.3804,4627,5822.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/05,木,平日,,晴,13.0,6.0,計,417444,550000,0.7590,0.7892,432405,0.9654,186,80,2244.3,2.11,275,0.6764,215,0.8651,0,78496,0.1880,0.1624,0,86811,0.2080,0.2210,0.3960,0.3833,4026,6221.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/06,金,平日,,曇,16.0,5.0,計,494401,500000,0.9888,0.8194,442261,1.1179,211,91,2343.1,2.40,250,0.8440,222,0.9505,0,119808,0.2423,0.1770,0,102728,0.2078,0.2186,0.4501,0.3955,4776,6211.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/07,土,土曜,,雨,11.0,6.0,計,899311,850000,1.0580,0.8683,797941,1.1270,373,153,2411.0,4.24,425,0.8776,393,0.9491,0,350336,0.3896,0.2300,0,145433,0.1617,0.2044,0.5513,0.4344,6873,7850.8,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/08,日,日祝,,晴,9.0,3.0,計,755709,800000,0.9446,0.8806,566976,1.3329,345,130,2190.5,3.92,400,0.8625,283,1.2191,0,,0.0000,0.1902,0,134624,0.1781,0.1998,0.1781,0.3900,6387,7099.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/09,月,平日,,晴,10.0,2.0,計,600304,500000,1.2006,0.9100,527676,1.1376,260,106,2308.9,2.95,250,1.0400,261,0.9962,0,279781,0.4661,0.2236,0,95286,0.1587,0.1949,0.6248,0.4184,4486,8029.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/10,火,平日,,晴,10.0,6.0,計,543254,500000,1.0865,0.9248,510016,1.0652,241,97,2254.2,2.74,250,0.9640,263,0.9164,0,162855,0.2998,0.2311,0,96744,0.1781,0.1932,0.4779,0.4243,4518,7214.5,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/11,水,平日,,晴,12.0,3.0,計,791258,600000,1.3188,0.9609,508730,1.5554,341,87,2320.4,3.88,300,1.1367,228,1.4956,0,73163,0.0925,0.2137,0,126930,0.1604,0.1891,0.2529,0.4027,5931,8004.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/12,木,平日,,晴,13.0,3.0,計,627203,700000,0.8960,0.9546,418647,1.4982,221,73,2838.0,2.51,350,0.6314,230,0.9609,0,147581,0.2353,0.2156,0,97573,0.1556,0.1860,0.3909,0.4017,4578,8220.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/13,金,平日,,曇,9.0,5.0,計,455198,500000,0.9104,0.9518,440815,1.0326,189,78,2408.5,2.15,250,0.7560,205,0.9220,0,168154,0.3694,0.2251,0,105204,0.2311,0.1888,0.6005,0.4139,4945,5523.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/14,土,土曜,,晴,13.0,6.0,計,810070,850000,0.9530,0.9519,877834,0.9228,352,137,2301.3,4.00,425,0.8282,405,0.8691,0,322913,0.3986,0.2423,0,133310,0.1646,0.1864,0.5632,0.4287,6314,7697.8,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/15,日,日祝,,曇,12.0,7.0,計,1034993,800000,1.2937,0.9810,832601,1.2431,434,146,2384.8,4.93,400,1.0850,460,0.9435,0,,0.0000,0.2151,0,162417,0.1569,0.1831,0.1569,0.3982,7604,8166.7,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/16,月,平日,,晴,15.0,5.0,計,614071,500000,1.2281,0.9935,458407,1.3396,303,102,2026.6,3.44,250,1.2120,220,1.3773,0,139327,0.2269,0.2158,0,110371,0.1797,0.1829,0.4066,0.3987,5130,7182.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/17,火,平日,,晴,16.0,6.0,計,443810,500000,0.8876,0.9884,370275,1.1986,213,89,2083.6,2.42,250,0.8520,211,1.0095,0,280238,0.6314,0.2338,0,97833,0.2204,0.1845,0.8519,0.4183,4615,5770.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/18,水,平日,,雨,15.0,6.0,計,494901,650000,0.7614,0.9750,606703,0.8157,245,94,2020.0,2.78,325,0.7538,295,0.8305,0,134094,0.2710,0.2355,0,102908,0.2079,0.1856,0.4789,0.4211,4730,6277.8,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/19,木,平日,,晴,14.0,9.0,計,657522,500000,1.3150,0.9898,738892,0.8899,275,100,2391.0,3.13,250,1.1000,363,0.7576,0,417790,0.6354,0.2585,0,109065,0.1659,0.1845,0.8013,0.4429,4938,7989.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/20,金,日祝,,晴,14.0,5.0,計,925408,900000,1.0282,0.9925,610329,1.5162,433,160,2137.2,4.92,450,0.9622,311,1.3923,0,98772,0.1067,0.2471,0,150420,0.1625,0.1828,0.2693,0.4299,6983,7951.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/21,土,土曜,,晴,15.0,5.0,計,1009751,900000,1.1219,1.0013,953243,1.0593,432,147,2337.4,4.91,450,0.9600,445,0.9708,0,367381,0.3638,0.2559,0,157903,0.1564,0.1808,0.5202,0.4368,7347,8246.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/22,日,日祝,,曇,15.0,5.0,計,745093,750000,0.9935,1.0008,609111,1.2232,325,118,2292.6,3.69,375,0.8667,315,1.0317,0,10890,0.0146,0.2432,0,140195,0.1882,0.1812,0.2028,0.4244,6584,6790.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/23,月,平日,,曇,17.0,9.0,計,719585,500000,1.4392,1.0159,524686,1.3715,290,105,2481.3,3.30,250,1.1600,269,1.0781,0,88185,0.1226,0.2373,0,101780,0.1414,0.1793,0.2640,0.4166,4744,9101.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/24,火,平日,,晴,18.0,8.0,計,376004,500000,0.7520,1.0071,547734,0.6865,181,75,2077.4,2.06,250,0.7240,260,0.6962,0,124288,0.3306,0.2396,0,92773,0.2467,0.1809,0.5773,0.4206,4239,5322.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/25,水,平日,,雨,14.0,10.0,計,531536,500000,1.0631,1.0089,518911,1.0243,232,96,2291.1,2.64,250,0.9280,272,0.8529,0,51852,0.0976,0.2348,0,95427,0.1795,0.1809,0.2771,0.4157,4401,7246.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/26,木,平日,,曇,18.0,12.0,計,719907,650000,1.1075,1.0129,527659,1.3643,291,95,2473.9,3.31,325,0.8954,248,1.1734,0,79998,0.1111,0.2294,0,94754,0.1316,0.1787,0.2427,0.4082,4444,9719.7,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/27,金,平日,,晴,19.0,8.0,計,586964,500000,1.1739,1.0177,641969,0.9143,253,92,2320.0,2.88,250,1.0120,310,0.8161,0,93333,0.1590,0.2270,0,116424,0.1983,0.1794,0.3574,0.4064,4785,7360.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/28,土,土曜,,晴,21.0,9.0,計,870737,850000,1.0244,1.0180,891531,0.9767,381,137,2285.4,4.33,425,0.8965,433,0.8799,0,291367,0.3346,0.2322,0,160003,0.1838,0.1796,0.5184,0.4119,6920,7549.7,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/29,日,日祝,,晴,21.0,13.0,計,696700,750000,0.9289,1.0144,706804,0.9857,323,116,2157.0,3.67,375,0.8613,364,0.8874,0,,0.0000,0.2235,0,163194,0.2342,0.1817,0.2342,0.4052,6581,6351.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/30,月,平日,,晴,23.0,15.0,計,554200,500000,1.1084,1.0168,468320,1.1834,252,101,2199.2,2.86,250,1.0080,227,1.1101,0,148358,0.2677,0.2248,0,123115,0.2221,0.1828,0.4898,0.4077,4615,7205.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/03/31,火,平日,,曇,23.0,15.0,計,536118,650000,0.8248,1.0104,688916,0.7782,240,94,2233.8,2.73,325,0.7385,320,0.7500,0,144555,0.2696,0.2260,0,142941,0.2666,0.1851,0.5363,0.4112,5684,5659.2,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/03/01,日,日祝,,晴,17.0,4.0,計,368983,260000,1.4192,1.4192,299178,1.2333,184,81,2005.3,2.09,137,1.3431,156,1.1795,0,,0.0000,0.0000,0,84784,0.2298,0.2298,0.2298,0.2298,4041,5478.6,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/03/02,月,平日,,曇,15.0,5.0,計,116691,90000,1.2966,1.3876,102285,1.1408,57,35,2047.2,0.65,47,1.2128,55,1.0364,0,100167,0.8584,0.2062,0,56864,0.4873,0.2917,1.3457,0.4979,2759,2537.7,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/03/03,火,平日,,雨,13.0,11.0,計,110468,100000,1.1047,1.3248,126323,0.8745,55,31,2008.5,0.63,53,1.0377,69,0.7971,0,59527,0.5389,0.2679,0,50858,0.4604,0.3229,0.9992,0.5908,2450,2705.3,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/03/04,水,平日,,曇,11.0,7.0,計,151304,110000,1.3755,1.3347,131587,1.1498,83,41,1822.9,0.94,58,1.4310,74,1.1216,0,41284,0.2729,0.2689,0,55445,0.3664,0.3317,0.6393,0.6006,2685,3381.1,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/03/05,木,平日,,晴,14.0,5.0,計,186809,90000,2.0757,1.4373,108595,1.7202,93,52,2008.7,1.06,47,1.9787,63,1.4762,0,20486,0.1097,0.2370,0,55145,0.2952,0.3244,0.4049,0.5615,2679,4183.9,,0.0000,
